Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Aruba,ABW,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,254,015,487","4,244,572,582","-2,272,666,799","6,572,317,635",
,AFE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,9837084746","1,367,465,027","1,389,270,286","1,366,105,533",
Afganistán,AFG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,2747965991","0,6615720019","0,1244959439","0,06447633446",
,AFW,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,583,174,144","2,090,089,663","2,162,984,411","2,104,491,178",
Angola,AGO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-1,072,495,142","-8,299,051,825","-5,913,333,838","-3,480,978,078",
Albania,ALB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,855,470,516","7,946,351,351","7,797,918,141","7,069,484,097",
Andorra,AND,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
El mundo árabe,ARB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,170,805,536","1,221,468,529","1,399,579,305","1,577,376,555",
Emiratos Árabes Unidos,ARE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,685,185,459","245,971,482","4,284,274,398","5,540,874,712",
Argentina,ARG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,789,364,285","2,232,532,213","1,471,464,438","103,160,799",
Armenia,ARM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,176,846,777","2,141,806,067","0,7411992401","0,3732520913",
Samoa Americana,ASM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Antigua y Barbuda,ATG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,030,476,282","1,275,541,809","757,100,155","5,365,871,269",
Australia,AUS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,632,469,395","4,292,849,405","2,809,090,017","1,385,989,118",
Austria,AUT,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"323,990,498","-6,284,657,043","-2,948,459,382","-4,204,124,881",
Azerbaiyán,AZE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,016,879,437","2,977,946,112","3,121,830,561","1,187,903,872",
Burundi,BDI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,01166798064","0,03698125591","0,04048238358","0,2178409363",
Bélgica,BEL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-7,416,757,538","-765,649,927","-5,617,632,907","-3,368,107,512",
Benin,BEN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,581,705,088","1,360,735,835","1,516,207,775","1,111,838,789",
Burkina Faso,BFA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,01823703264","1,689,199,557","1,007,346,446","-0,5507975031",
Bangladesh,BGD,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,6162952066","0,7535109826","0,5432336492","0,4079442236",
Bulgaria,BGR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,390,724,217","2,727,195,092","3,223,154,012","5,186,069,313",
Bahrein,BHR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,462,722,688","0,2940854905","3,884,090,322","2,899,054,153",
Bahamas,BHS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,464,779,351","385,240,196","3,655,246,092","4,480,641,268",
Bosnia y Herzegovina,BIH,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,817,782,479","2,982,458,849","2,166,756,575","2,056,312,295",
Belarús,BLR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,332,138,504","2,376,261,878","1,976,877,774","2,263,147,347",
Belice,BLZ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,725,378,071","6,465,901,769","4,827,668,954","4,805,833,216",
Bermudas,BMU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-4,033,835,397","1,320,463,261","0,05913446753","6,924,462,198",
Bolivia,BOL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,899,493,281","0,7505247809","-0,5297350113","-3,083,516,483",
Brasil,BRA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,338,260,284","4,077,487,084","3,692,673,304","260,853,064",
Barbados,BRB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,138,385,701","4,739,711,132","4,060,396,991","5,589,040,324",
Brunei Darussalam,BRN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,858,208,317","3,804,741,353","2,771,141,484","4,710,565,406",
Bhután,BTN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-0,6755630463","0,1082794837","0,5131363166","-0,1203643947",
Botswana,BWA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,619,642,221","1,690,616,757","0,5606585432","0,53625163",
República Centroafricana,CAF,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,3324125503","0,8106126009","1,152,529,651","149,339,769",
Canadá,CAN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"153,752,072","2,469,312,073","278,685,844","1,614,085,262",
Europa Central y del Báltico,CEB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,978,715,371","-1,288,041,001","9,057,239,956","1,297,903,332",
Suiza,CHE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,033,219,794","-2,180,547,445","1,199,139,732","-3,420,896,307",
Islas del Canal,CHI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Chile,CHL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"221,729,324","2,626,803,555","4,518,053,651","3,374,387,375",
China,CHN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,349,132,679","1,693,905,294","1,310,718,778","1,723,183,793",
Côte d'Ivoire,CIV,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,889,997,672","1,069,324,208","1,450,101,603","1,162,074,005",
Camerún,CMR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,256,209,564","1,913,981,821","2,583,196,349","1,654,689,619",
"Congo, República Democrática del",COD,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,756,443,254","2,959,042,576","2,609,314,437","3,075,078,538",
"Congo, República del",COG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,981,094,123","3,156,721,958","2,639,996,538","3,830,462,249",
Colombia,COL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,392,944,901","3,380,835,767","4,329,539,104","2,759,387,886",
Comoras,COM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,3637765678","0,477150042","0,359894023","0,3164964578",
Cabo Verde,CPV,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"6,312,150,566","5,730,767,473","5,206,049,802","4,349,701,353",
Costa Rica,CRI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,833,275,306","4,829,438,713","4,220,940,195","338,331,924",
Estados pequeos del Caribe,CSS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,777,764,035","3,758,575,773","5,199,814,786","3,724,174,739",
Cuba,CUB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Curacao,CUW,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,737,887,507","4,202,273,433","261,205,389","6,335,664,912",
Islas Caimán,CYM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,851,413,538","31,398,317","1,817,790,953","1,100,202,251",
Chipre,CYP,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"6,299,100,837","-4,350,091,922","1,630,435,573","-1,325,299,147",
República Checa,CZE,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,138,725,412","3,343,910,398","4,258,298,877","3,470,899,706",
Alemania,DEU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,966,954,512","4,195,531,565","1,843,457,695","3,711,990,747",
Djibouti,DJI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,970,135,971","5,834,973,097","5,665,500,402","4,974,111,026",
Dominica,DMA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,348,025,534","1,411,091,439","1,030,881,501","4,359,250,189",
Dinamarca,DNK,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,086,132,947","2,456,000,967","-1,093,831,002","0,4444787411",
República Dominicana,DOM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,497,488,808","3,207,863,799","3,180,974,427","3,120,818,428",
Argelia,DZA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,7232598725","0,83820748","0,8041106866","0,7769917587",
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,615,729,857","1,873,292,038","1,507,915,413","1,729,350,643",
inicial del dividendo demográfico,EAR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,937,768,387","2,005,112,671","1,875,532,321","189,535,291",
Asia oriental y el Pacífico,EAS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,297,861,981","226,928,487","198,657,219","2,176,646,875",
Europa y Asia central (excluido altos ingresos),ECA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,125,426,426","1,363,892,197","2,162,323,933","1,306,419,196",
Europa y Asia central,ECS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,172,059,852","-1,155,995,413","1,187,754,012","0,5432304111",
Ecuador,ECU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,6036120707","1,291,066,231","0,9014295104","1,112,077,149",
"Egipto, República Árabe de",EGY,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,142,826,052","3,260,262,789","2,972,836,963","1,602,123,894",
Zona del Euro,EMU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,854,822,338","-0,0413789872","0,2227831432","0,7302090775",
Eritrea,ERI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
España,ESP,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,404,907,382","412,571,581","1,777,333,002","2,632,521,118",
Estonia,EST,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"6,446,852,166","4,042,502,688","9,866,417,057","1,153,720,812",
Etiopía,ETH,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,912,707,176","3,987,712,538","2,657,360,635","2,225,385,751",
Union Europea,EUU,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,631,002,846","-0,1640733933","1,155,388,118","2,096,084,958",
Frágiles y situaciones de conflicto afectados,FCS,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,873,380,492","1,461,056,268","1,330,908,017","1,550,765,651",
Finlandia,FIN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"670,809,996","-383,428,376","581,422,413","-0,8714331039",
Fiji,FJI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,240,300,466","8,400,461,669","5,863,669,962","5,233,036,344",
Francia,FRA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"138,212,039","2,776,578,144","2,106,467,776","0,5034581053",
Islas Feroe,FRO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Micronesia (Estados Federados de),FSM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Gabon,GAB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"8,801,569,499","8,175,990,002","9,204,098,146","1,120,670,644",
Reino Unido,GBR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,644,610,359","-0,8637449745","0,07769811817","1,126,587,489",
Georgia,GEO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,182,440,508","7,219,945,323","7,819,837,496","337,039,611",
Ghana,GHA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,388,486,852","4,441,407,055","5,677,452,823","2,678,037,209",
Gibraltar,GIB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Guinea,GIN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"5,594,271,749","297,511,257","0,3302868231","1,244,563,547",
Gambia,GMB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,275,240,817","489,653,695","3,919,440,966","1,035,701,729",
Guinea-Bissau,GNB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,162,158,478","1,366,702,549","4,977,547,013","1,466,010,181",
Guinea Ecuatorial,GNQ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,498,397,077","3,024,184,478","3,979,952,258","5,246,920,431",
Grecia,GRC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,720,904,752","1,898,353,352","243,713,307","174,948,781",
Granada,GRD,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,382,821,302","1,577,385,112","1,639,731,404","1,426,200,742",
Groenlandia,GRL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Guatemala,GTM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,393,282,437","1,259,958,631","1,520,070,928","1,294,216,113",
Guam,GUM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Guyana,GUY,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"6,894,095,039","2,465,528,995","3,276,494,898","2,183,195,945",
Ingreso alto,HIC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,140,162,132","0,5390294535","1,629,180,749","1,263,443,274",
"Hong Kong, Region Administrativa Especial",HKG,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,683,755,166","2,682,552,406","1,605,810,808","3,405,584,777",
Honduras,HND,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,105,923,264","5,993,854,186","3,806,680,652","0,9905088256",
Países pobres muy endeudados (PPME),HPC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,661,128,663","3,690,908,726","3,398,868,497","2,814,186,389",
Croacia,HRV,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,8185802755","2,119,579,982","6,272,031,313","2,060,637,543",
Haití,HTI,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,493,156,163","0,6381025876","0,5072420852","0,1723161312",
Hungría,HUN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-8,476,577,852","-4,008,105,626","602,358,611","1,093,306,365",
Solo BIRF,IBD,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,848,034,613","1,988,027,691","1,844,006,951","1,784,070,092",
BIRF y la AIF,IBT,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,881,577,206","1,991,056,171","1,850,959,827","1,778,520,048",
total de la AIF,IDA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,321,554,234","2,032,557,396","1,944,179,418","1,706,470,696",
mezcla de la AIF,IDB,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,530,599,824","1,172,466,632","1,151,223,724","1,113,190,347",
Indonesia,IDN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,019,489,201","1,814,289,797","2,233,362,049","18,112,098",
Solo AIF,IDX,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,948,844,821","2,754,228,002","2,595,351,408","2,168,511,003",
Isla de Man,IMN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
India,IND,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,507,316,581","1,558,214,793","1,787,381,739","241,266,468",
No clasificado,INX,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,,,,,
Irlanda,IRL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,738,087,357","1,749,465,847","-1,168,395,104","7,619,753,275",
"Irán, República Islámica del",IRN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,031,378,766","0,7169366451","0,5175675817","0,5795785258",
Iraq,IRQ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-2,687,994,284","-2,148,548,348","-1,316,406,167","-1,706,678,667",
Islandia,ISL,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-283,072,317","-2,370,719,438","-2,238,593,334","-4,121,616,679",
Israel,ISR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,754,737,676","5,758,063,515","436,315,418","5,964,911,831",
Italia,ITA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,5677669267","2,115,255,482","1,550,511,384","-1,167,243,207",
Jamaica,JAM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"600,199,763","4,924,230,845","4,203,305,436","1,919,290,442",
Jordania,JOR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,901,640,293","2,224,278,094","163,970,972","1,643,173,068",
Japon,JPN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,381319638","0,5019887697","0,7799738989","1,220,508,121",
Kazajstán,KAZ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,852,057,179","0,196995408","2,053,676,434","4,205,188,018",
Kenya,KEN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,640,844,097","0,8326864315","0,4681625893","0,4234824979",
Kirguistán,KGZ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-1,391,843,535","1,743,691,279","4,552,631,191","-5,160,327,391",
Camboya,KHM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,257,184,973","1,307,449,807","1,352,202,109","1,400,948,204",
Kiribati,KIR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,417019323","-0,5831735059","-0,3137546892","1,450,481,509",
Saint Kitts y Nevis,KNA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,528,038,883","3,713,634,541","4,108,805,431","1,412,226,822",
"Corea, República de",KOR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,103,077,991","0,7063008938","0,5833938606","0,5351317211",
Kuwait,KWT,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,09362477506","-0,01547054382","0,3785828449","-0,5266650943",
América Latina y el Caribe (excluido altos ingresos),LAC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,042,816,606","3,350,077,668","2,937,184,943","2,299,617,052",
República Democrática Popular Lao,LAO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"9,917,782,999","7,485,644,375","4,031,491,814","5,098,073,156",
Líbano,LBN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"475,677,914","484,140,309","398,128,354","1,102,460,731",
Liberia,LBR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,309,485,784","3,772,684,939","2,611,211,949","2,860,542,745",
Libia,LBY,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,0,0,"0,001443995229",,
