name,year,period,value,unit
Argentina,2015,Anual,28,Porcentaje anual
Bahamas,2015,Anual,12,Porcentaje anual
Bolivia (Estado Plurinacional de),2015,Anual,6,Porcentaje anual
Brasil,2015,Anual,50,Porcentaje anual
Chile,2015,Anual,9,Porcentaje anual
Colombia,2015,Anual,12,Porcentaje anual
Costa Rica,2015,Anual,16,Porcentaje anual
Ecuador,2015,Anual,8,Porcentaje anual
El Salvador,2015,Anual,6,Porcentaje anual
Granada,2015,Anual,9,Porcentaje anual
Guatemala,2015,Anual,13,Porcentaje anual
Guyana,2015,Anual,11,Porcentaje anual
Nicaragua,2015,Anual,12,Porcentaje anual
PanamÃ¡,2015,Anual,7,Porcentaje anual
PerÃº,2015,Anual,16,Porcentaje anual
RepÃºblica Dominicana,2015,Anual,15,Porcentaje anual
Suriname,2015,Anual,13,Porcentaje anual
Trinidad y Tabago,2015,Anual,8,Porcentaje anual
Uruguay,2015,Anual,17,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2015,Anual,20,Porcentaje anual
Antigua y Barbuda,2015,Anual,9,Porcentaje anual
Barbados,2015,Anual,7,Porcentaje anual
Belice,2015,Anual,10,Porcentaje anual
Dominica,2015,Anual,9,Porcentaje anual
HaitÃ­,2015,Anual,19,Porcentaje anual
Honduras,2015,Anual,21,Porcentaje anual
MÃ©xico,2015,Anual,28,Porcentaje anual
Paraguay,2015,Anual,14,Porcentaje anual
Saint Kitts y Nevis,2015,Anual,9,Porcentaje anual
San Vicente y las Granadinas,2015,Anual,9,Porcentaje anual
Santa LucÃ­a,2015,Anual,9,Porcentaje anual
Jamaica,2015,Anual,17,Porcentaje anual
Argentina,2016,Anual,33,Porcentaje anual
Bolivia (Estado Plurinacional de),2016,Anual,6,Porcentaje anual
Brasil,2016,Anual,54,Porcentaje anual
Chile,2016,Anual,10,Porcentaje anual
Colombia,2016,Anual,15,Porcentaje anual
Costa Rica,2016,Anual,15,Porcentaje anual
Ecuador,2016,Anual,9,Porcentaje anual
El Salvador,2016,Anual,6,Porcentaje anual
Guatemala,2016,Anual,13,Porcentaje anual
HaitÃ­,2016,Anual,20,Porcentaje anual
Nicaragua,2016,Anual,11,Porcentaje anual
PerÃº,2016,Anual,17,Porcentaje anual
RepÃºblica Dominicana,2016,Anual,15,Porcentaje anual
Trinidad y Tabago,2016,Anual,9,Porcentaje anual
Uruguay,2016,Anual,18,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2016,Anual,21,Porcentaje anual
Antigua y Barbuda,2016,Anual,9,Porcentaje anual
Bahamas,2016,Anual,13,Porcentaje anual
Barbados,2016,Anual,7,Porcentaje anual
Belice,2016,Anual,10,Porcentaje anual
Dominica,2016,Anual,8,Porcentaje anual
Granada,2016,Anual,8,Porcentaje anual
Guyana,2016,Anual,11,Porcentaje anual
Honduras,2016,Anual,19,Porcentaje anual
Jamaica,2016,Anual,17,Porcentaje anual
MÃ©xico,2016,Anual,27,Porcentaje anual
PanamÃ¡,2016,Anual,7,Porcentaje anual
Paraguay,2016,Anual,16,Porcentaje anual
Saint Kitts y Nevis,2016,Anual,9,Porcentaje anual
San Vicente y las Granadinas,2016,Anual,9,Porcentaje anual
Santa LucÃ­a,2016,Anual,8,Porcentaje anual
Suriname,2016,Anual,14,Porcentaje anual
Argentina,2017,Anual,27,Porcentaje anual
Bolivia (Estado Plurinacional de),2017,Anual,6,Porcentaje anual
Chile,2017,Anual,11,Porcentaje anual
Colombia,2017,Anual,14,Porcentaje anual
El Salvador,2017,Anual,7,Porcentaje anual
Guatemala,2017,Anual,13,Porcentaje anual
Nicaragua,2017,Anual,11,Porcentaje anual
Trinidad y Tabago,2017,Anual,9,Porcentaje anual
Antigua y Barbuda,2017,Anual,9,Porcentaje anual
Bahamas,2017,Anual,12,Porcentaje anual
Barbados,2017,Anual,7,Porcentaje anual
Belice,2017,Anual,10,Porcentaje anual
Brasil,2017,Anual,50,Porcentaje anual
Costa Rica,2017,Anual,15,Porcentaje anual
Dominica,2017,Anual,8,Porcentaje anual
Ecuador,2017,Anual,8,Porcentaje anual
Granada,2017,Anual,8,Porcentaje anual
Guyana,2017,Anual,11,Porcentaje anual
HaitÃ­,2017,Anual,18,Porcentaje anual
Honduras,2017,Anual,19,Porcentaje anual
Jamaica,2017,Anual,15,Porcentaje anual
PanamÃ¡,2017,Anual,7,Porcentaje anual
Paraguay,2017,Anual,14,Porcentaje anual
PerÃº,2017,Anual,17,Porcentaje anual
RepÃºblica Dominicana,2017,Anual,14,Porcentaje anual
Saint Kitts y Nevis,2017,Anual,9,Porcentaje anual
San Vicente y las Granadinas,2017,Anual,9,Porcentaje anual
Santa LucÃ­a,2017,Anual,8,Porcentaje anual
Suriname,2017,Anual,14,Porcentaje anual
Uruguay,2017,Anual,15,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2017,Anual,22,Porcentaje anual
MÃ©xico,2017,Anual,27,Porcentaje anual
Bolivia (Estado Plurinacional de),2018,Anual,6,Porcentaje anual
Chile,2018,Anual,11,Porcentaje anual
Costa Rica,2018,Anual,16,Porcentaje anual
Ecuador,2018,Anual,8,Porcentaje anual
Guatemala,2018,Anual,13,Porcentaje anual
PerÃº,2018,Anual,15,Porcentaje anual
RepÃºblica Dominicana,2018,Anual,13,Porcentaje anual
Trinidad y Tabago,2018,Anual,9,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2018,Anual,22,Porcentaje anual
Antigua y Barbuda,2018,Anual,9,Porcentaje anual
Argentina,2018,Anual,49,Porcentaje anual
Bahamas,2018,Anual,12,Porcentaje anual
Barbados,2018,Anual,7,Porcentaje anual
Belice,2018,Anual,9,Porcentaje anual
Brasil,2018,Anual,45,Porcentaje anual
Colombia,2018,Anual,12,Porcentaje anual
Dominica,2018,Anual,8,Porcentaje anual
El Salvador,2018,Anual,7,Porcentaje anual
Granada,2018,Anual,8,Porcentaje anual
Guyana,2018,Anual,10,Porcentaje anual
HaitÃ­,2018,Anual,18,Porcentaje anual
Honduras,2018,Anual,18,Porcentaje anual
Jamaica,2018,Anual,14,Porcentaje anual
MÃ©xico,2018,Anual,28,Porcentaje anual
Nicaragua,2018,Anual,11,Porcentaje anual
PanamÃ¡,2018,Anual,7,Porcentaje anual
Paraguay,2018,Anual,13,Porcentaje anual
Saint Kitts y Nevis,2018,Anual,8,Porcentaje anual
San Vicente y las Granadinas,2018,Anual,8,Porcentaje anual
Santa LucÃ­a,2018,Anual,8,Porcentaje anual
Suriname,2018,Anual,14,Porcentaje anual
Uruguay,2018,Anual,14,Porcentaje anual
Antigua y Barbuda,2019,Anual,9,Porcentaje anual
Argentina,2019,Anual,67,Porcentaje anual
Bahamas,2019,Anual,11,Porcentaje anual
Barbados,2019,Anual,7,Porcentaje anual
Belice,2019,Anual,9,Porcentaje anual
Bolivia (Estado Plurinacional de),2019,Anual,6,Porcentaje anual
Brasil,2019,Anual,43,Porcentaje anual
Chile,2019,Anual,9,Porcentaje anual
Colombia,2019,Anual,12,Porcentaje anual
Costa Rica,2019,Anual,13,Porcentaje anual
Dominica,2019,Anual,8,Porcentaje anual
Ecuador,2019,Anual,9,Porcentaje anual
El Salvador,2019,Anual,7,Porcentaje anual
Granada,2019,Anual,7,Porcentaje anual
Guatemala,2019,Anual,13,Porcentaje anual
Guyana,2019,Anual,9,Porcentaje anual
HaitÃ­,2019,Anual,19,Porcentaje anual
Honduras,2019,Anual,17,Porcentaje anual
Jamaica,2019,Anual,13,Porcentaje anual
MÃ©xico,2019,Anual,30,Porcentaje anual
Nicaragua,2019,Anual,13,Porcentaje anual
PanamÃ¡,2019,Anual,7,Porcentaje anual
Paraguay,2019,Anual,13,Porcentaje anual
PerÃº,2019,Anual,14,Porcentaje anual
RepÃºblica Dominicana,2019,Anual,12,Porcentaje anual
Saint Kitts y Nevis,2019,Anual,8,Porcentaje anual
San Vicente y las Granadinas,2019,Anual,8,Porcentaje anual
Santa LucÃ­a,2019,Anual,8,Porcentaje anual
Suriname,2019,Anual,15,Porcentaje anual
Trinidad y Tabago,2019,Anual,9,Porcentaje anual
Uruguay,2019,Anual,13,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2019,Anual,29,Porcentaje anual
Argentina,2020,Anual,37,Porcentaje anual
Bahamas,2020,Anual,10,Porcentaje anual
Barbados,2020,Anual,6,Porcentaje anual
Belice,2020,Anual,9,Porcentaje anual
Bolivia (Estado Plurinacional de),2020,Anual,6,Porcentaje anual
Brasil,2020,Anual,34,Porcentaje anual
Chile,2020,Anual,8,Porcentaje anual
Colombia,2020,Anual,10,Porcentaje anual
Costa Rica,2020,Anual,11,Porcentaje anual
Ecuador,2020,Anual,9,Porcentaje anual
Guatemala,2020,Anual,13,Porcentaje anual
Guyana,2020,Anual,9,Porcentaje anual
HaitÃ­,2020,Anual,16,Porcentaje anual
Honduras,2020,Anual,17,Porcentaje anual
Jamaica,2020,Anual,12,Porcentaje anual
MÃ©xico,2020,Anual,30,Porcentaje anual
Nicaragua,2020,Anual,11,Porcentaje anual
PanamÃ¡,2020,Anual,7,Porcentaje anual
Paraguay,2020,Anual,11,Porcentaje anual
PerÃº,2020,Anual,13,Porcentaje anual
RepÃºblica Dominicana,2020,Anual,11,Porcentaje anual
Suriname,2020,Anual,15,Porcentaje anual
Trinidad y Tabago,2020,Anual,8,Porcentaje anual
Uruguay,2020,Anual,13,Porcentaje anual
Venezuela (RepÃºblica Bolivariana de),2020,Anual,33,Porcentaje anual
